script_name,dass_status,formulas_found,dass_terms,notes
age_gender_ucla_threeway.py,FULL,7,"dass_anxiety, dass_depression, dass_stress, dass_total","Includes DASS depression, anxiety, and stress as covariates"
comprehensive_replication_verification.py,FULL,3,"dass_anxiety, dass_depression, dass_stress","Includes DASS depression, anxiety, and stress as covariates"
dass_anxiety_mask_hypothesis.py,FULL,1,"dass_anxiety, dass_depression, dass_stress, dass_total","Includes DASS depression, anxiety, and stress as covariates; DASS as mediator (theoretically valid)"
cross_task_meta_control.py,FULL,4,"dass_anxiety, dass_depression, dass_stress, dass_total","Includes DASS depression, anxiety, and stress as covariates"
dose_response_threshold_analysis.py,FULL,2,"dass_anxiety, dass_depression, dass_stress, z_dass_anx, z_dass_dep, z_dass_str","Includes DASS depression, anxiety, and stress as covariates"
ef_residual_ml.py,FULL,1,"dass_anx, dass_dep, dass_stress","Includes DASS depression, anxiety, and stress as covariates"
hidden_patterns_analysis.py,FULL,2,"dass_anxiety, dass_depression, dass_stress, z_dass_anx, z_dass_dep, z_dass_str","Includes DASS depression, anxiety, and stress as covariates"
replication_verification_corrected.py,FULL,1,"dass_anxiety, dass_depression, dass_stress, z_dass_anx, z_dass_dep","Includes DASS depression, anxiety, and stress as covariates"
trial_level_mixed_effects.py,FULL,3,"dass_anxiety, dass_depression, dass_stress, z_dass_anx, z_dass_dep","Includes DASS depression, anxiety, and stress as covariates"
specification_curve_analysis.py,PARTIAL,3,dass_total,Includes some DASS terms but not all three subscales: dass_total
proactive_reactive_control.py,PARTIAL,2,dass_total,Includes some DASS terms but not all three subscales: dass_total
task_order_effects.py,PARTIAL,3,dass_total,Includes some DASS terms but not all three subscales: dass_total
tau_moderated_mediation.py,PARTIAL,9,dass_total,Includes some DASS terms but not all three subscales: dass_total
split_half_internal_replication.py,PARTIAL,4,dass_total,Includes some DASS terms but not all three subscales: dass_total
ef_predict_dass.py,N/A (DASS as DV/IV),0,,"DASS is the predictor/outcome, not a covariate"
dass_exec_models.py,N/A (DASS as DV/IV),0,,"DASS is the predictor/outcome, not a covariate"
dass_ef_hier_bayes.py,N/A (DASS as DV/IV),0,,"DASS is the predictor/outcome, not a covariate"
statistical_utils.py,N/A (Utility),0,,"Utility/visualization script, not hypothesis testing"
derive_trial_features.py,N/A (Utility),0,,"Utility/visualization script, not hypothesis testing"
data_loader_utils.py,N/A (Utility),0,,"Utility/visualization script, not hypothesis testing"
generate_comprehensive_final_report.py,N/A (Utility),0,,"Utility/visualization script, not hypothesis testing"
generate_publication_figures.py,N/A (Utility),0,,"Utility/visualization script, not hypothesis testing"
create_visualizations.py,N/A (Utility),0,,"Utility/visualization script, not hypothesis testing"
reliability_validity.py,N/A (No UCLA test),0,None,Script does not test UCLA effects
stroop_post_error_adjustments.py,N/A (No UCLA test),0,"dass_anxiety, dass_depression, dass_stress",Script does not test UCLA effects
statistical_robustness.py,N/A (No UCLA test),0,"dass_anxiety, dass_depression, dass_stress",Script does not test UCLA effects
prp_post_error_adjustments.py,N/A (No UCLA test),0,"dass_anxiety, dass_depression, dass_stress",Script does not test UCLA effects
equiv_loo_tost.py,N/A (No UCLA test),0,"z_dass_anx, z_dass_dep",Script does not test UCLA effects
cross_task_order_effects.py,NONE,1,None,Tests UCLA but no DASS covariates found in formulas
stroop_cse_conflict_adaptation.py,NONE,1,None,Tests UCLA but no DASS covariates found in formulas
audit_dass_control.py,UNCLEAR (No formulas found),0,None,"No regression formulas detected, manual review needed; DASS as mediator (theoretically valid)"
dass_mediation_bootstrapped.py,UNCLEAR (No formulas found),0,"dass_anxiety, dass_depression, dass_stress, dass_total, z_dass_total","No regression formulas detected, manual review needed; DASS as mediator (theoretically valid)"
perseveration_momentum_analysis.py,UNCLEAR (No formulas found),0,None,"No regression formulas detected, manual review needed"
nonlinear_gender_effects.py,UNCLEAR (No formulas found),0,"dass_anxiety, dass_depression, dass_stress, z_dass_anx, z_dass_dep, z_dass_str","No regression formulas detected, manual review needed"
ml_predict_loneliness.py,UNCLEAR (No formulas found),0,"dass_anx, dass_dep, dass_stress","No regression formulas detected, manual review needed"
ml_nested_tuned.py,UNCLEAR (No formulas found),0,"dass_anx, dass_dep, dass_stress","No regression formulas detected, manual review needed"
mediation_gender_pathways.py,UNCLEAR (No formulas found),0,"dass_anxiety, dass_depression, dass_stress, dass_total, z_dass_anx, z_dass_dep, z_dass_str","No regression formulas detected, manual review needed"
mechanism_mediation_analysis.py,UNCLEAR (No formulas found),0,"dass_anxiety, dass_depression, dass_stress","No regression formulas detected, manual review needed"
master_dass_controlled_analysis.py,UNCLEAR (No formulas found),0,"dass_anxiety, dass_depression, dass_stress, z_dass_anx, z_dass_dep, z_dass_str","No regression formulas detected, manual review needed"
loneliness_exec_models.py,UNCLEAR (No formulas found),0,"dass_anx, dass_dep, dass_stress, dass_total, z_dass_anx, z_dass_dep","No regression formulas detected, manual review needed"
extreme_group_analysis.py,UNCLEAR (No formulas found),0,"dass_anxiety, dass_depression, dass_stress","No regression formulas detected, manual review needed"
equivalence_and_invariance.py,UNCLEAR (No formulas found),0,"z_dass_anx, z_dass_dep","No regression formulas detected, manual review needed"
exgaussian_mediation_analysis.py,UNCLEAR (No formulas found),0,None,"No regression formulas detected, manual review needed"
